start	end	strand	name	symbol	locus_tag
306467	308152	+	alpha-glucosidase	ycdG	BSUA_RS01695
308340	309299	+	metal ABC transporter substrate-binding protein	znuA	BSUA_RS01700
309355	310050	+	zinc ABC transporter ATP-binding protein ZnuC	znuC	BSUA_RS01705
310008	310850	+	zinc ABC transporter permease ZnuB	znuB	BSUA_RS01710
310888	311883	-	LLM class flavin-dependent oxidoreductase	yceB	BSUA_RS01715
312167	312766	+	TerD family protein	yceC	BSUA_RS01720
312788	313369	+	TerD family protein	yceD	BSUA_RS01725
313404	313982	+	TerD family protein	yceE	BSUA_RS01730
314033	314806	+	TerC family protein	yceF	BSUA_RS01735
314891	316504	+	YceG family protein	yceG	BSUA_RS01740
316520	317611	+	toxic anion resistance protein	yceH	BSUA_RS01745
317733	318935	+	niacin permease NiaP	niaP	BSUA_RS01750
319188	320360	-	MFS transporter	yceJ	BSUA_RS01755
320429	320731	-	metalloregulator ArsR/SmtB family transcription factor	yceK	BSUA_RS01760
321021	322277	+	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	opuAA	BSUA_RS01765
322279	323127	+	glycine/proline betaine ABC transporter permease subunit OpuAB	opuAB	BSUA_RS01770
323127	324008	+	glycine/proline betaine ABC transporter substrate-binding protein OpuAC	opuAC	BSUA_RS01775
324046	325197	-	M20 peptidase aminoacylase family protein	amhX	BSUA_RS01780
325347	326780	+	YfcC family protein	ycgA	BSUA_RS01785
326896	327477	+	hypothetical protein		BSUA_RS01795
327626	329605	+	alpha-amylase	amyE	BSUA_RS01800
329782	330747	+	L-lactate dehydrogenase	lctE	BSUA_RS01805
330779	332404	+	L-lactate permease	lctP	BSUA_RS01810
332449	333987	-	multidrug efflux MFS transporter Bmr3	bmr3	BSUA_RS01815
334100	334564	+	MarR family transcriptional regulator	ycgE	BSUA_RS01820
334638	335267	+	LysE family translocator	ycgF	BSUA_RS01825
335337	336098	+	YqcI/YcgG family protein	ycgG	BSUA_RS01830
336100	337440	-	amino acid permease	ycgH	BSUA_RS01835
337570	338166	+	DUF1989 domain-containing protein	ycgI	BSUA_RS01840
338296	339114	+	ammonia-dependent NAD(+) synthetase	nadE	BSUA_RS01845
339164	339757	-	tunicamycin resistance ATP-binding TmrB	tmrB	BSUA_RS01850
340033	340593	+	shikimate kinase	aroK	BSUA_RS01855
340621	341382	-	class I SAM-dependent methyltransferase	ycgJ	BSUA_RS01860
341500	342474	+	LysR family transcriptional regulator	ycgK	BSUA_RS01865
342546	343502	+	cephalosporin C deacetylase	cah	BSUA_RS01870
343586	344368	+	nucleotidyltransferase domain-containing protein	ycgL	BSUA_RS01875
344559	345470	+	proline dehydrogenase PutB	putB	BSUA_RS01880
345487	347034	+	L-glutamate gamma-semialdehyde dehydrogenase	pruA	BSUA_RS01885
347125	348579	+	sodium/proline symporter PutP	putP	BSUA_RS01890
348732	349967	+	proline utilization transcriptional regulator PutR	putR	BSUA_RS01895
350004	350861	-	TIGR03943 family protein	ycgQ	BSUA_RS01900
350866	351750	-	permease	ycgR	BSUA_RS01905
351850	352704	-	alpha/beta hydrolase	ycgS	BSUA_RS01910
352866	353864	+	ferredoxin--NADP(+) reductase	ffoR	BSUA_RS01915
353896	355347	-	uroporphyrinogen-III C-methyltransferase	cobA	BSUA_RS01920
355408	355728	-	nitrite reductase small subunit NirD	nirD	BSUA_RS01925
355760	358177	-	NADPH-nitrite reductase	nasD	BSUA_RS01930
358299	360431	-	assimilatory nitrate reductase catalytic subunit	nasC	BSUA_RS01935
360438	362753	-	assimilatory nitrate reductase electron transfer subunit NasB	nasB	BSUA_RS01940
362933	364138	+	NarK/NasA family nitrate transporter	nasA	BSUA_RS01945
364255	365169	+	GTP cyclohydrolase I FolE2	folEB	BSUA_RS01950
365166	365750	+	"L,D-transpeptidase"	yciB	BSUA_RS01955
365846	366031	+	hypothetical protein		BSUA_RS01960
366059	367252	+	zinc metallochaperone ZinU	zinU	BSUA_RS01965
367301	367981	-	amino acid ABC transporter permease	yckA	BSUA_RS01970
367991	368854	-	transporter substrate-binding domain-containing protein	yckB	BSUA_RS01975
369016	369213	+			BSUA_RS22675
369232	369687	+	RDD family protein	yckC	BSUA_RS01985
369769	370101	+	YckD family protein	yckD	BSUA_RS01990
371725	372123	-	DNA-entry nuclease inhibitor	nin	BSUA_RS02000
372150	372599	-	DNA-entry nuclease	nucA	BSUA_RS02005
372767	374488	-	methyl-accepting chemotaxis protein TlpC	tlpC	BSUA_RS02010
375162	375794	-	3-hexulose-6-phosphate synthase	hxlA	BSUA_RS02020
376027	376389	+	transcriptional activator HxlR	hxlR	BSUA_RS02025
376963	387726	+	surfactin non-ribosomal peptide synthetase SrfAA	srfAA	BSUA_RS02035
387739	398490	+	surfactin non-ribosomal peptide synthetase SrfAB	srfAB	BSUA_RS02040
398527	402354	+	surfactin non-ribosomal peptide synthetase SrfAC	srfAC	BSUA_RS02045
402383	403111	+	surfactin biosynthesis thioesterase SrfAD	srfAD	BSUA_RS02050
403212	404438	+	MFS transporter	srfT	BSUA_RS02055
404453	405010	-	YcxB family protein	ycxB	BSUA_RS02060
405064	406002	-	DMT family transporter	ycxC	BSUA_RS02065
406126	407460	+	PLP-dependent aminotransferase family protein	ycxD	BSUA_RS02070
407455	408130	-	4'-phosphopantetheinyl transferase		BSUA_RS02075
408235	408882	-	YitT family protein	yczE	BSUA_RS02080
409203	409946	-	cystine ABC transporter ATP-binding protein TcyC	tcyC	BSUA_RS02085
409960	410664	-	cystine ABC transporter permease TcyB	tcyB	BSUA_RS02090
410651	411457	-	cystine ABC transporter substrate-binding lipoprotein TcyA	tcyA	BSUA_RS02095
411573	412445	-	transcriptional regulator BsdA	bsdA	BSUA_RS02100
412535	413149	+	UbiX family flavin prenyltransferase	ubiX	BSUA_RS02105
413152	414573	+	phenolic acid decarboxylase BsdC	bsdC	BSUA_RS02110
414590	414817	+	phenolic acid decarboxylase subunit BsdD	bsdD	BSUA_RS02115
414814	415278	+	pyridoxamine 5'-phosphate oxidase family protein	yclD	BSUA_RS02120
415345	416190	+	alpha/beta hydrolase	yclE	BSUA_RS02125
416230	417708	-	peptide MFS transporter	dtpT	BSUA_RS02130
417988	419742	+	right-handed parallel beta-helix repeat-containing protein	yclG	BSUA_RS02135
419758	419979	-	hypothetical protein		BSUA_RS02140
420105	421739	+	spore germination protein GerKA	gerKA	BSUA_RS02145
421729	422952	+	spore germination protein GerKC	gerKC	BSUA_RS02150
422977	424098	+	spore germination protein GerKB	gerKB	BSUA_RS02155
